# Simulated random data file for batch processing
# timestamp: 2022-04-14 09:57:27
# LSC
# ------------------------

"var_x","var_y"
0.16634321748279,0.456320145865902
0.933088773861527,0.115245493361726
0.849142458522692,0.394295886158943
0.631087021669373,0.130062982905656
0.400330400327221,0.0441741535905749
0.0139502063393593,0.798631403129548
0.00772866699844599,0.590924933552742
0.191510823089629,0.974922246765345
0.259893688838929,NA
0.81302928365767,0.359714913647622
0.880390735575929,0.249703023349866
0.641180987237021,0.402723720297217
0.869030478177592,0.470797320595011
0.912374507868662,0.605952511541545
0.615376280387864,0.0307414485141635
0.584112509386614,0.316330681787804
0.513266982976347,0.168398065492511
0.0168334350455552,0.887903513619676
0.967540584271774,0.874948281329125
0.363669141661376,0.380034711677581
0.270076090004295,0.584834617096931
0.831127822864801,0.737791927531362
0.777821766445413,0.430092214373872
0.0254678658675402,0.473177030915394
0.534401385579258,0.131583017995581
0.847133094677702,0.451225965982303
0.670864711282775,0.531970354961231
0.712358910823241,0.675067440606654
0.405589234549552,0.824512555496767
0.312016513664275,0.262805387377739
0.84380680299364,0.961530986241996
0.638573688454926,0.720366602065042
0.894636308774352,0.315779498778284
0.568032420007512,0.664144241018221
0.605071926489472,0.799367646221071
0.713417302351445,0.267860638676211
0.576709009008482,0.9214044327382
NA,0.962374769849703
0.714366804342717,0.280810680240393
0.59868361055851,0.639676664723083
0.881156233372167,0.403803065186366
0.533688888885081,NA
0.730471367249265,0.152880042791367
0.935254460433498,0.39186096820049
0.229319083038718,0.697479285299778
0.210371813504025,0.699204976670444
NA,0.175793249625713
0.0810556914657354,0.943837290396914
0.853670828510076,0.888929860433564
0.140726441051811,0.291223482461646
0.594341938383877,0.137917754705995
0.916471559321508,0.913007275667042
0.480539554962888,0.751005286816508
0.813750018365681,0.972609340213239
